timestamp,date (UTC),unit id,sensor type,measurement type,data key,value
1609517663642,01.01.2021 16:14:23:642,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517668112,01.01.2021 16:14:28:112,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517673764,01.01.2021 16:14:33:764,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517678085,01.01.2021 16:14:38:085,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517683602,01.01.2021 16:14:43:602,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517688062,01.01.2021 16:14:48:062,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517693583,01.01.2021 16:14:53:583,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517698262,01.01.2021 16:14:58:262,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517703623,01.01.2021 16:15:03:623,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517708302,01.01.2021 16:15:08:302,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517713852,01.01.2021 16:15:13:852,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517718332,01.01.2021 16:15:18:332,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517723832,01.01.2021 16:15:23:832,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517728292,01.01.2021 16:15:28:292,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517733854,01.01.2021 16:15:33:854,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517738322,01.01.2021 16:15:38:322,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517743852,01.01.2021 16:15:43:852,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517748223,01.01.2021 16:15:48:223,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517753892,01.01.2021 16:15:53:892,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517758283,01.01.2021 16:15:58:283,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517763832,01.01.2021 16:16:03:832,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517768262,01.01.2021 16:16:08:262,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,400.0
1609517773793,01.01.2021 16:16:13:793,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,402.0
1609517778222,01.01.2021 16:16:18:222,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,404.0
1609517783812,01.01.2021 16:16:23:812,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,407.0
1609517788264,01.01.2021 16:16:28:264,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,407.0
1609517793822,01.01.2021 16:16:33:822,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,410.0
1609517798242,01.01.2021 16:16:38:242,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,414.0
1609517803782,01.01.2021 16:16:43:782,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,416.0
1609517808193,01.01.2021 16:16:48:193,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,417.0
1609517813833,01.01.2021 16:16:53:833,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,417.0
1609517818232,01.01.2021 16:16:58:232,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,416.0
1609517823832,01.01.2021 16:17:03:832,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,415.0
1609517828252,01.01.2021 16:17:08:252,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,414.0
1609517833802,01.01.2021 16:17:13:802,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,415.0
1609517838242,01.01.2021 16:17:18:242,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,414.0
1609517843774,01.01.2021 16:17:23:774,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,416.0
1609517848212,01.01.2021 16:17:28:212,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,417.0
1609517853862,01.01.2021 16:17:33:862,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,415.0
1609517858222,01.01.2021 16:17:38:222,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,416.0
1609517863772,01.01.2021 16:17:43:772,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,419.0
